308,365,80,79
308,363,80,79
309,362,80,79
309,362,80,79
310,362,80,79
311,362,80,79
314,361,80,79
317,361,80,79
320,366,80,79
321,371,80,79
322,376,80,79
323,380,80,79
323,386,80,79
323,389,80,79
323,395,80,79
324,397,80,79
323,400,80,79
322,403,80,79
322,408,80,79
321,413,76,75
319,414,76,75
314,413,76,75
313,410,76,75
312,404,76,75
314,401,73,72
314,398,73,72
313,396,73,72
311,396,73,72
310,394,73,72
308,394,73,72
305,396,73,72
298,398,73,72
292,396,73,72
291,390,73,72
295,384,73,72
300,377,73,72
306,372,73,72
309,367,73,72
313,360,73,72
314,358,73,72
314,356,73,72
315,356,73,72
314,357,73,72
312,359,73,72
311,361,73,72
309,362,73,72
309,363,73,72
310,363,73,72
316,365,69,68
320,365,69,68
325,365,69,68
330,365,69,68
336,370,66,65
339,377,66,65
340,385,66,65
338,393,66,65
336,400,66,65
332,402,66,65
329,399,66,65
327,394,66,65
324,392,66,65
322,390,66,65
322,396,66,65
320,405,66,65
319,413,66,65
319,419,66,65
319,426,66,65
318,431,66,65
318,439,66,65
318,446,66,65
317,453,66,65
316,458,66,65
315,464,66,65
311,477,66,65
309,485,66,65
307,494,66,65
306,498,66,65
304,499,66,65
302,498,66,65
300,498,66,65
297,498,66,65
296,497,66,65
294,499,66,65
292,499,66,65
290,499,66,65
288,499,66,65
285,497,66,65
284,496,66,65
283,493,66,65
283,489,66,65
284,485,66,65
284,481,66,65
286,482,66,65
287,484,66,65
287,488,66,65
288,493,66,65
289,497,66,65
290,503,66,65
291,509,66,65
292,515,66,65
292,523,66,65
290,529,66,65
288,533,66,65
278,537,66,65
271,539,66,65
261,538,66,65
248,538,66,65
234,534,66,65
215,531,69,68
197,528,69,68
178,522,69,68
155,515,73,72
135,509,73,72
115,502,73,72
97,496,73,72
82,488,73,72
72,482,73,72
62,479,73,72
56,478,73,72
53,479,73,72
51,485,73,72
54,495,73,72
60,511,73,72
67,529,73,72
78,548,73,72
59,535,76,75
57,533,76,75
54,539,76,75
57,539,76,75
54,538,80,79
53,532,80,79
55,530,80,79
53,535,80,79
53,534,80,79
50,532,84,83
50,532,84,83
49,533,84,83
50,533,84,83
50,534,84,83
49,533,84,83
49,533,84,83
49,534,84,83
49,533,84,83
50,534,84,83
49,533,84,83
49,534,84,83
49,533,84,83
49,534,84,83
50,534,84,83
49,533,84,83
49,534,84,83
48,533,84,83
49,534,84,83
49,533,84,83
49,534,84,83
48,534,84,83
49,533,84,83
49,534,84,83
49,534,84,83
49,533,84,83
49,534,84,83
50,534,84,83
